country_code,country_name,continent,population,air_pollution_pm25,infant_mortality_rate,life_expectancy_both,life_expectancy_female,life_expectancy_male,obesity_prevalence,tuberculosis_incidence,under5_mortality_rate,adult_literacy_rate,basic_water_access_pct,gdp_per_capita,health_expenditure_per_capita,hospital_beds_per_1000,measles_immunization_pct,neonatal_mortality_rate,physicians_per_1000,population_total,urban_population_pct,cases_per_1m,deaths_per_1m,case_fatality_rate,health_system_index,socioeconomic_index,health_outcome_score
TLS,Timor-Leste,Asia,1369429.0,20.44614,2.40712595,67.01880118,17.95840629,59.97414469,1.8767636,83.0,43.73278581,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,17131.0,101.0,0.5882,0.48287500116152937,0.473030978489054,0.09145144723889634
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
TON,Tonga,Australia-Oceania,107749.0,7.74054,0.034125432,70.37704437,20.6496087,64.05438576,77.967185,99.0,8.850802184,87.6600036621094,97.67658476709235,13712.331325228035,254.83047485,2.1149999999999998,94.0,12.6,3.808,596966.5,59.2461548826604,157310.0,121.0,0.0767,0.499516567513225,0.47979522832656557,0.49863945630044254
TSA,South Asia (IDA & IBRD),,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
TSS,Sub-Saharan Africa (IDA & IBRD countries),,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
TTO,Trinidad and Tobago,North America,1406585.0,10.39275,46.3327198,74.09327397,21.44475675,66.1063286,32.415411,93.0,17.120112884,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,136143.0,3121.0,2.2925,0.46438071639994716,0.5417096279086174,0.20046364832437957
TUN,Tunisia,Africa,12046656.0,25.35189,6.199999809,77.50537971,23.33161459,66.6757488,17.836267,98.0,13.244113693,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,95741.0,2442.0,2.5511,0.25566369694591295,0.20952989939034783,0.6040598958741021
TUR,Turkey,Asia,85561976.0,23.21719,17.32999992,75.0887461,21.25746889,67.80004271,32.258266,99.0,8.443362281,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,201399.0,1194.0,0.5929,0.48287500116152937,0.473030978489054,0.5046112995974593
TUV,Tuvalu,Australia-Oceania,12066.0,6.80654,5.860192776,68.527122495,17.45140595,60.37984099,69.989413,92.0,19.450477951,87.6600036621094,97.67658476709235,13712.331325228035,254.83047485,2.1149999999999998,94.0,12.6,3.808,596966.5,59.2461548826604,243909.0,83.0,0.034,0.499516567513225,0.47979522832656557,0.3174918730062468
TWN,Taiwan,Asia,23888595.0,27.16498,2.40712595,74.57707156,20.39267473,65.53234464,17.022085,96.0,13.614667316,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,428720.0,796.0,0.1856,0.48287500116152937,0.473030978489054,0.550688675051226
TZA,Tanzania,Africa,63298550.0,14.46877,116.3459244,66.78631383,18.79006611,58.6758504,15.887661,91.0,38.054053346,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,683.0,13.0,1.9573,0.25566369694591295,0.20952989939034783,-0.662058495873389
UGA,Uganda,Africa,48432863.0,31.31261,10.60001993,66.0878394,17.69688518,55.58300662,9.6021645,93.0,28.200270122,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,3554.0,75.0,2.1098,0.25566369694591295,0.20952989939034783,0.14455823381795832
UKR,Ukraine,Europe,43192122.0,15.20278,15.52999973,77.81051846,21.73222922,66.69862932,18.825126,80.0,9.101947075,99.61000061035155,99.98573708972265,40408.2848574751,2908.83154297,5.050000000000001,95.0,2.3,3.892,5668014.0,72.76538205339385,128681.0,2603.0,2.0226,0.6471878184943698,0.668915231382778,0.5827519977353086
URY,Uruguay,South America,3496016.0,8.50698,33.23516083,77.01365627,21.70617475,68.59620148,32.942402,94.0,5.455541423,94.57131334997685,95.41614476396654,6472.54544924705,507.06231689,2.02,91.0,7.4,2.3354999999999997,19197744.0,77.4595528518377,297799.0,2192.0,0.7361,0.4554984946667363,0.5664195443590224,0.4697252337754327
USA,USA,North America,334805269.0,7.41177,46.3327198,78.73923827,23.23711251,65.12712594,40.463263,94.0,5.522969146,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,333985.0,3642.0,1.0906,0.46438071639994716,0.5417096279086174,0.4227419461857903
UZB,Uzbekistan,Asia,34382084.0,46.63223,0.0,74.28109295,17.8188925,64.32372756,27.358216,96.0,16.710175238,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,7378.0,48.0,0.6453,0.48287500116152937,0.473030978489054,0.5329111179911988
VAT,Holy See (Vatican City State),Europe,799.0,12.1386,0.179999996,80.90340137,23.28289156,69.14331489,21.059428,95.0,3.3101959115,99.61000061035155,99.98573708972265,40408.2848574751,2908.83154297,5.050000000000001,95.0,2.3,3.892,5668014.0,72.76538205339385,36295.0,0.0,0.0,0.6471878184943698,0.668915231382778,0.8213235143422335
VCT,Saint Vincent and the Grenadines,North America,111551.0,9.50585,55.36021423,75.8185623,20.50946152,64.98394513,45.879483,97.0,10.955082006,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,86723.0,1112.0,1.2818,0.46438071639994716,0.5417096279086174,0.23600899112363305
VEN,Venezuela,South America,29266991.0,16.70442,75.97263336,72.71401189,22.64098677,63.4012906,22.833301,64.0,21.477539369,94.57131334997685,95.41614476396654,6472.54544924705,507.06231689,2.02,91.0,7.4,2.3354999999999997,19197744.0,77.4595528518377,18885.0,200.0,1.0595,0.4554984946667363,0.5664195443590224,-0.08071140938435756
VGB,British Virgin Islands,North America,30596.0,10.22044,46.3327198,75.29554064,21.44475675,65.4608084,31.235856,93.5,12.639122888,91.40634550729564,99.8643835616439,11673.7394555761,465.63766479,2.1149999999999998,92.0,7.5,2.3970000000000002,36395.0,52.3907871425786,241600.0,2092.0,0.8658,0.4741409109272253,0.46353146841387866,0.2708248946670928
VNM,Vietnam,Asia,98953541.0,20.93368,24.23248672,77.99629809,19.5535056,65.38787599,1.6176427,89.0,14.885813302,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,117481.0,437.0,0.3717,0.48287500116152937,0.473030978489054,0.4765812530441055
VUT,Vanuatu,Australia-Oceania,321832.0,9.0883,0.034125432,70.64265663,17.63384226,61.42584511,15.483469,90.0,14.912259426,87.6600036621094,97.67658476709235,13712.331325228035,254.83047485,2.1149999999999998,94.0,12.6,3.808,596966.5,59.2461548826604,37346.0,44.0,0.1165,0.499516567513225,0.47979522832656557,0.4530009889874509
WLD,World,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
WLF,Wallis and Futuna,Australia-Oceania,10982.0,7.995995,0.034125432,68.527122495,17.45140595,60.37984099,45.034622999999996,94.5,18.897071967000002,87.6600036621094,97.67658476709235,13712.331325228035,254.83047485,2.1149999999999998,94.0,12.6,3.808,596966.5,59.2461548826604,323256.0,728.0,0.2254,0.499516567513225,0.47979522832656557,0.36303125937379926
WSM,Samoa,Australia-Oceania,202239.0,8.07386,0.034125432,68.76537342,17.64320152,61.41862051,71.699011,68.0,14.940505142,87.6600036621094,97.67658476709235,13712.331325228035,254.83047485,2.1149999999999998,94.0,12.6,3.808,596966.5,59.2461548826604,84089.0,153.0,0.1823,0.499516567513225,0.47979522832656557,0.40359974536924637
YEM,Yemen,Asia,31154867.0,41.60944,2.40712595,66.89863946,17.98244342,58.35054219,15.247683,60.0,42.3272615,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,383.0,69.0,18.0745,0.48287500116152937,0.473030978489054,0.10050035903765978
ZAF,South Africa,Africa,60756135.0,17.04371,1.150606275,68.84884833,18.70505626,57.72860198,44.082209,85.0,27.593741514,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,67095.0,1689.0,2.5168,0.25566369694591295,0.20952989939034783,0.28819038495430943
ZMB,Zambia,Africa,19470234.0,16.10123,10.60001993,59.43027143,14.43155731,52.66856462,4.1623801,88.0,32.345037182,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,17940.0,209.0,1.1649,0.25566369694591295,0.20952989939034783,-0.06573132717133595
ZWE,Zimbabwe,Africa,15331428.0,14.47127,10.60001993,61.01709079,14.31397044,51.95162108,19.181265,90.0,50.724940523,49.0,70.944581483911,1960.40808854893,61.43383788999999,1.1400000000000001,77.5,25.25,0.1265,12491045.5,46.293553777071,17373.0,374.0,2.155,0.25566369694591295,0.20952989939034783,-0.18365781376610912
